Component #1,Component #2,Component #3,x1,x2,x3,T_melting /K
L-MENTHOL,OCTANOIC ACID,-,0.3,0.7,-,279.0
LIDOCAINE,LAURIC ACID,-,0.43,0.57,-,279.15
L-MENTHOL,PYRUVIC ACID,-,0.333,0.666,-,279.15
CHOLINE CHLORIDE,PHENOL,-,0.119,0.881,-,279.3
CHOLINE CHLORIDE,O-CRESOL,-,0.143,0.857,-,279.5
L-MENTHOL,OCTANOIC ACID,-,0.303,0.697,-,279.55
CHOLINE CHLORIDE,RESORCINOL,-,0.505,0.495,-,279.632
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.301,0.699,-,279.71
THYMOL,OCTANOIC ACID,-,0.2,0.8,-,280.16
1.10-PHENANTHROLINE,THYMOL,-,0.203,0.797,-,280.2893
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.666,0.334,-,280.333
THYMOL,UNDECYLENIC ACID,-,0.19,0.81,-,280.541
THYMOL,UNDECYLENIC ACID,-,0.2,0.8,-,280.65
LIMONENE,DECANOIC ACID,-,0.667,0.333,-,280.95
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.666,0.334,-,281.0762
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,281.18
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.598,0.402,-,281.295
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.202,0.798,-,281.295
THYMOL,L-MENTHOL,-,0.7,0.3,-,281.3
DECANOIC ACID,OLEIC ACID,-,0.5,0.5,-,281.33
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.3,0.7,-,282.0
LAURIC ACID,NONANOIC ACID,-,0.25,0.75,-,282.0
METHYLTRIOCTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.333,0.667,-,282.1
TETRAOCTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.333,0.667,-,282.1
METHYLTRIOCTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.33,0.67,-,282.1
TETRAOCTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.33,0.67,-,282.1
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,282.15
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,282.15
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,CHOLINE CHLORIDE,-,0.667,0.333,-,282.15
ZINCCHLORIDE,UREA,-,0.222,0.778,-,282.15
THYMOL,UNDECYLENIC ACID,-,0.25,0.75,-,282.15
POTASSIUM THIOCYANATE,GLYCEROL,-,0.4,0.6,-,282.6
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.048,0.952,-,282.609
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.072,0.928,-,282.806
DECANOIC ACID,OLEIC ACID,-,0.2,0.8,-,282.82
CHOLINE CHLORIDE,O-CRESOL,-,0.091,0.909,-,283.0
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.667,0.333,-,283.15
CHOLINE CHLORIDE,MALONIC ACID,-,0.5,0.5,-,283.15
THYMOL,UNDECYLENIC ACID,-,0.333,0.667,-,283.15
OCTANOIC ACID,LAURIC ACID,-,0.804,0.196,-,283.275
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.1,0.9,-,283.535
1.3-DITHIANE,1.3-DIIODOTETRAFLUOROBENZENE,-,0.37,0.63,-,283.55
DECANOIC ACID,OLEIC ACID,-,0.6,0.4,-,283.68
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.66,0.34,-,283.721
L-MENTHOL,OCTANOIC ACID,-,0.2,0.8,-,284.0
THYMOL,UNDECYLENIC ACID,-,0.5,0.5,-,284.15
THYMOL,OCTANOIC ACID,-,0.5,0.5,-,284.16
L-MENTHOL,HYDROCINNAMIC ACID,-,0.6,0.4,-,284.21
CHOLINE CHLORIDE,UREA,-,0.333,0.667,-,284.22
NONANOIC ACID,LAURIC ACID,-,0.668,0.332,-,284.275
OCTANOIC ACID,LAURIC ACID,-,0.861,0.139,-,284.275
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.137,0.863,-,284.317
ZINCCHLORIDE,UREA,-,0.252,0.748,-,284.4833
LAURIC ACID,NONANOIC ACID,-,0.333,0.667,-,285.0
LAURIC ACID,NONANOIC ACID,-,0.143,0.857,-,285.0
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.506,0.494,-,285.1
THYMOL,OCTANOIC ACID,-,0.1,0.9,-,285.13
CHOLINE CHLORIDE,MALONIC ACID,-,0.48,0.52,-,285.15
NONANOIC ACID,LAURIC ACID,-,0.86,0.14,-,285.15
OCTANOIC ACID,LAURIC ACID,-,0.668,0.332,-,285.15
THYMOL,L-MENTHOL,-,0.278,0.722,-,285.178
OCTANOIC ACID,LAURIC ACID,-,0.904,0.096,-,285.275
DECANOIC ACID,OLEIC ACID,-,0.1,0.9,-,285.39
CARVACROL,L-MENTHOL,-,0.298,0.702,-,285.58
THYMOL,L-MENTHOL,-,0.703,0.297,-,285.65
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,285.69
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.349,0.651,-,285.981
L-MENTHOL,OCTANOIC ACID,-,0.1,0.9,-,286.0
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.6,0.4,-,286.15
CHOLINE CHLORIDE,L-GLUTAMIC ACID,-,0.333,0.667,-,286.15
CHOLIN ACETATE,GLYCEROL,-,0.4,0.6,-,286.15
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.599,0.401,-,286.167
THYMOL,L-MENTHOL,-,0.701,0.299,-,286.3
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.57,0.43,-,286.85
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.496,0.504,-,286.873
L-MENTHOL,OCTANOIC ACID,-,0.698,0.302,-,286.9
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,287.0
L-MENTHOL,OCTANOIC ACID,-,0.7,0.3,-,287.0
DICHLORIDOTIN,CHOLINE CHLORIDE,-,0.717,0.283,-,287.1136
DICHLORIDOTIN,ACETYLCHOLINE CHLORIDE,-,0.667,0.333,-,287.15
CHOLIN ACETATE,GLYCEROL,-,0.444,0.556,-,287.15
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.61,0.39,-,287.2
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.6,0.4,-,287.3543
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.451,0.549,-,287.45
LIMONENE,DECANOIC ACID,-,0.5,0.5,-,287.45
BUTYLTRIMETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.333,0.667,-,287.54
CHOLINE CHLORIDE,LACTIC ACID,-,0.099,0.901,-,287.75
THYMOL,DECANOIC ACID,-,0.49,0.51,-,287.84
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.7,0.3,-,287.92
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.2,0.8,-,287.92
L-MENTHOL,DECANOIC ACID,-,0.7,0.3,-,288.0
LAURIC ACID,NONANOIC ACID,-,0.435,0.565,-,288.0
CHOLINE CHLORIDE,D-GLUCOSE,-,0.667,0.333,-,288.15
CHLORMEQUAT CHLORIDE,UREA,-,0.67,0.33,-,288.15
CHLORMEQUAT CHLORIDE,UREA,-,0.333,0.667,-,288.15
PROPRANOLOL,DECANOIC ACID,-,0.35,0.65,-,288.15
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.207,0.793,-,288.232
CHOLINE CHLORIDE,LACTIC ACID,-,0.05,0.95,-,288.35
L-MENTHOL,DECANOIC ACID,-,0.698,0.302,-,288.4
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.364,0.636,-,288.8
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,288.9
L-MENTHOL,LAURIC ACID,-,0.7,0.3,-,289.0
NONANOIC ACID,LAURIC ACID,-,0.566,0.434,-,289.15
PROPRANOLOL,LAURIC ACID,-,0.3,0.7,-,289.15
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.7,0.3,-,289.19
TETRABUTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.333,0.667,-,289.65
THYMOL,UNDECYLENIC ACID,-,0.6,0.4,-,289.65
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),UREA,-,0.355,0.645,-,289.706
THYMOL,DECANOIC ACID,-,0.45,0.55,-,289.87
DECANOIC ACID,OLEIC ACID,-,0.7,0.3,-,289.87
THYMOL,1-TETRADECANOL,-,0.499,0.501,-,289.9
CALCIUMCHLORIDEHEXAHYDRATE,CHOLINE CHLORIDE,-,0.8,0.2,-,289.95
THYMOL,1-TETRADECANOL,-,0.599,0.401,-,290.0
BUTYLTRIMETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.25,0.75,-,290.11
DICHLORIDOTIN,BENZENAMINIUM. N-(2-HYDROXYETHYL)-N.N-DIMETHYL-. CHLORIDE,-,0.667,0.333,-,290.15
THYMOL,DECANOIC ACID,-,0.5,0.5,-,290.15
THYMOL,DECANOIC ACID,-,0.495,0.505,-,290.175
OCTANOIC ACID,LAURIC ACID,-,0.568,0.432,-,290.275
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,290.28
L-MENTHOL,HYDROCINNAMIC ACID,-,0.5,0.5,-,290.35
L-MENTHOL,1-TETRADECANOL,-,0.7,0.3,-,290.6
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.399,0.601,-,290.703
CHOLINE CHLORIDE,2.3-DIMETHYLPHENOL,-,0.25,0.75,-,290.8
L-MENTHOL,PHENYLACETIC ACID,-,0.65,0.35,-,290.8
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,CHOLINE CHLORIDE,-,0.602,0.398,-,290.833
BUTYLTRIMETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.2,0.8,-,291.06
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,291.15
CHOLIN ACETATE,UREA,-,0.333,0.667,-,291.15
LIDOCAINE,PRILOCAINE,-,0.5,0.5,-,291.15
CHOLINE CHLORIDE,RESORCINOL,-,0.338,0.662,-,291.238
LIDOCAINE,PHENYL SALICYLATE,-,0.43,0.57,-,291.35
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.399,0.601,-,291.6
THYMOL,HYDROCINNAMIC ACID,-,0.44,0.56,-,291.6
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.37,0.63,-,291.6589
L-MENTHOL,HYDROCINNAMIC ACID,-,0.7,0.3,-,291.67
THYMOL,L-MENTHOL,-,0.732,0.268,-,291.974
L-MENTHOL,DECANOIC ACID,-,0.4,0.6,-,292.0
THYMOL,UNDECYLENIC ACID,-,0.7,0.3,-,292.15
IBUPROFEN,MENTHOL,-,0.3,0.7,-,292.15
TETRABUTYLAMMONIUM CHLORIDE,L-METHIONINE,-,0.917,0.083,-,292.26
THYMOL,DECANOIC ACID,-,0.36,0.64,-,292.35
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.402,0.598,-,292.4103
L-MENTHOL,DECANOIC ACID,-,0.393,0.607,-,292.65
DECANOIC ACID,LAURIC ACID,-,0.568,0.432,-,293.025
DICHLORIDOTIN,ACETYLCHOLINE CHLORIDE,-,0.667,0.333,-,293.15
ETHYLAMMONIUM CHLORIDE,UREA. (TRIFLUOROMETHYL)-,-,0.4,0.6,-,293.15
CHOLINE CHLORIDE,5-PHENYLVALERIC ACID,-,0.4,0.6,-,293.15
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.4,0.6,-,293.15
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.5,0.5,-,293.15
CHOLIN ACETATE,GLYCEROL,-,0.5,0.5,-,293.15
CHOLIN ACETATE,GLYCEROL,-,0.25,0.75,-,293.15
DECANOIC ACID,LAURIC ACID,-,0.732,0.268,-,293.275
THYMOL,L-MENTHOL,-,0.202,0.798,-,293.3
TETRABUTYLAMMONIUM CHLORIDE,L-THREONINE,-,0.9,0.1,-,293.36
THYMOL,DECANOIC ACID,-,0.3,0.7,-,293.36
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.043,0.957,-,293.381
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.5,0.5,-,293.6323
CALCIUMCHLORIDEHEXAHYDRATE,CHOLINE CHLORIDE,-,0.86,0.14,-,293.8
THYMOL,L-MENTHOL,-,0.211,0.789,-,293.94
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.33,0.67,-,293.9791
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.4,0.6,-,294.0
ETHYLAMMONIUM CHLORIDE,TRIFLUOROACETAMIDE,-,0.4,0.6,-,294.0
LAURIC ACID,NONANOIC ACID,-,0.5,0.5,-,294.0
L-MENTHOL,1-TETRADECANOL,-,0.598,0.402,-,294.0
LIMONENE,DECANOIC ACID,-,0.333,0.667,-,294.05
IRON(3+) TRICHLORIDE,BENZENAMINIUM. N-(2-HYDROXYETHYL)-N.N-DIMETHYL-. CHLORIDE,-,0.667,0.333,-,294.15
TETRABUTYLAMMONIUM CHLORIDE,IMIDAZOLE,-,0.3,0.7,-,294.15
CHOLINE CHLORIDE,UREA,-,0.294,0.706,-,294.183
CHOLINE CHLORIDE,PHENOL,-,0.4,0.6,-,294.2
NONANOIC ACID,LAURIC ACID,-,0.501,0.499,-,294.275
OCTANOIC ACID,LAURIC ACID,-,0.503,0.497,-,294.275
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,CHOLINE CHLORIDE,-,0.714,0.286,-,294.333
LAURIC ACID,DECANOIC ACID,-,0.248,0.752,-,294.35
TETRABUTYLAMMONIUM BROMIDE,IMIDAZOLE,-,0.3,0.7,-,294.4966
L-MENTHOL,1-TETRADECANOL,-,0.798,0.202,-,294.6
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,294.64
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.494,0.506,-,294.7
LAURIC ACID,DECANOIC ACID,-,0.3,0.7,-,294.75
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.612,0.388,-,294.892
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.072,0.928,-,294.892
THYMOL,DECANOIC ACID,-,0.55,0.45,-,294.95
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.1,0.9,-,295.03
LAURIC ACID,LAURIC ACID,-,0.333,0.667,-,295.05
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.331,0.669,-,295.15
DECANOIC ACID,LAURIC ACID,-,0.802,0.198,-,295.275
TETRABUTYLAMMONIUM CHLORIDE,L-THREONINE,-,0.889,0.111,-,295.3
CHOLINE CHLORIDE,O-CRESOL,-,0.357,0.643,-,295.3
LAURIC ACID,DECANOIC ACID,-,0.347,0.653,-,295.33
L-MENTHOL,PHENYL SALICYLATE,-,0.5,0.5,-,295.43
THYMOL,L-MENTHOL,-,0.2,0.8,-,295.5
TETRAPROPYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.202,0.798,-,295.57
THYMOL,DECANOIC ACID,-,0.19,0.81,-,295.671
SODIUM LAURATE,DECANOIC ACID,-,0.201,0.799,-,295.673
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.298,0.702,-,295.7
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.601,0.399,-,295.81
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.299,0.701,-,295.9204
L-MENTHOL,DECANOIC ACID,-,0.3,0.7,-,296.0
TETRAETHYLAMMONIUM BROMIDE,1.3-DIMETHYLUREA,-,0.333,0.667,-,296.15
CHOLIN ACETATE,ETHYLENE GLYCOL,-,0.33,0.67,-,296.15
CHOLIN ACETATE,GLYCEROL,-,0.333,0.667,-,296.15
DECANOIC ACID,LAURIC ACID,-,0.503,0.497,-,296.15
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,296.17
L-MENTHOL,DECANOIC ACID,-,0.296,0.704,-,296.19
CALCIUMCHLORIDEHEXAHYDRATE,CHOLINE CHLORIDE,-,0.89,0.11,-,296.2
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.296,0.704,-,296.2
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.364,0.636,-,296.26
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.366,0.634,-,296.2715
LAURIC ACID,DECANOIC ACID,-,0.401,0.599,-,296.31
CARVACROL,L-MENTHOL,-,0.203,0.797,-,296.35
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.221,0.779,-,296.403
L-MENTHOL,DECANOIC ACID,-,0.299,0.701,-,296.6
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.208,0.792,-,296.7
DECANOIC ACID,OLEIC ACID,-,0.8,0.2,-,296.71
LAURIC ACID,DECANOIC ACID,-,0.447,0.553,-,296.77
TETRADECANOIC ACID,DECANOIC ACID,-,0.201,0.799,-,296.78
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.302,0.698,-,296.817
L-MENTHOL,HYDROCINNAMIC ACID,-,0.4,0.6,-,296.93
CHOLINE CHLORIDE,LACTIC ACID,-,0.502,0.498,-,296.95
THYMOL,OCTANOIC ACID,-,0.6,0.4,-,296.95
AMMONIUM THIOCYANATE,ACETAMIDE,-,0.4,0.6,-,297.0
L-MENTHOL,LAURIC ACID,-,0.6,0.4,-,297.0
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.48,0.52,-,297.137
ZINCCHLORIDE,CHLORMEQUAT CHLORIDE,-,0.667,0.333,-,297.15
ZINCCHLORIDE,CHOLINE CHLORIDE,-,0.667,0.333,-,297.15
CHOLINE CHLORIDE,D-GLUCOSE,-,0.6,0.4,-,297.15
AMMONIUM THIOCYANATE,UREA,-,0.4,0.6,-,297.15
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.389,0.611,-,297.2
L-MENTHOL,1-TETRADECANOL,-,0.499,0.501,-,297.2
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.423,0.577,-,297.235
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.176,0.824,-,297.235
CALCIUMCHLORIDEHEXAHYDRATE,CHOLINE CHLORIDE,-,0.91,0.09,-,297.25
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.1,0.9,-,297.35
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.4,0.6,-,297.38
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.694,0.306,-,297.405
TETRABUTYLAMMONIUM CHLORIDE,L-METHIONINE,-,0.909,0.091,-,297.41
THYMOL,L-MENTHOL,-,0.724,0.276,-,297.411
CHOLINE CHLORIDE,PHENOL,-,0.1,0.9,-,297.5
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.502,0.498,-,297.6446
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.5,0.5,-,297.833
DECANOIC ACID,TETRADECANOIC ACID,-,0.167,0.833,-,297.9
L-MENTHOL,SALICYLIC ACID,-,0.85,0.15,-,297.9
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.036,0.964,-,297.914
1.4-DITHIANE,1.3-DIIODOTETRAFLUOROBENZENE,-,0.07,0.93,-,297.95
CHOLINE CHLORIDE,MALONIC ACID,-,0.451,0.549,-,297.982
L-MENTHOL,DECANOIC ACID,-,0.8,0.2,-,298.0
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.8,0.2,-,298.0
ZINCCHLORIDE,CHOLINE CHLORIDE,-,0.672,0.328,-,298.0227
DECANOIC ACID,LAURIC ACID,-,0.436,0.564,-,298.025
TETRABUTYLAMMONIUM CHLORIDE,L-SERINE,-,0.889,0.111,-,298.06
CHOLINE CHLORIDE,D-SORBITOL,-,0.5,0.5,-,298.15
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.5,0.5,-,298.15
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.331,0.669,-,298.15
LAURIC ACID,DECANOIC ACID,-,0.2,0.8,-,298.15
BETAINE,LACTIC ACID,-,0.5,0.5,-,298.15
L-ALANINE,LACTIC ACID,-,0.5,0.5,-,298.15
TETRADECANOIC ACID,DECANOIC ACID,-,0.152,0.848,-,298.2
THYMOL,1-TETRADECANOL,-,0.399,0.601,-,298.2
TETRABUTYLAMMONIUM CHLORIDE,L-ARGININE,-,0.857,0.143,-,298.22
TETRABUTYLAMMONIUM CHLORIDE,L-ASPARTIC ACID,-,0.9,0.1,-,298.23
DECANOIC ACID,LAURIC ACID,-,0.855,0.145,-,298.275
SODIUM LAURATE,DECANOIC ACID,-,0.167,0.833,-,298.375
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.49,0.51,-,298.4
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.587,0.413,-,298.5
CHOLINE CHLORIDE,MALONIC ACID,-,0.55,0.45,-,298.653
ETHYLAMMONIUM CHLORIDE,TRIFLUOROACETAMIDE,-,0.5,0.5,-,298.7
L-MENTHOL,DECANOIC ACID,-,0.798,0.202,-,298.85
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.8,0.2,-,298.9
L-MENTHOL,DECANOIC ACID,-,0.2,0.8,-,299.0
L-MENTHOL,OCTANOIC ACID,-,0.8,0.2,-,299.0
L-MENTHOL,LAURIC ACID,-,0.8,0.2,-,299.0
LAURIC ACID,NONANOIC ACID,-,0.565,0.435,-,299.0
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.531,0.469,-,299.035
LAURIC ACID,DECANOIC ACID,-,0.5,0.5,-,299.06
TETRABUTYLAMMONIUM CHLORIDE,L-METHIONINE,-,0.9,0.1,-,299.12
BENZYLTRIMETHYLAMMONIUM CHLORIDE,UREA,-,0.333,0.667,-,299.15
NONANOIC ACID,LAURIC ACID,-,0.436,0.564,-,299.275
OCTANOIC ACID,LAURIC ACID,-,0.402,0.598,-,299.275
SODIUM LAURATE,DECANOIC ACID,-,0.251,0.749,-,299.276
PALMITIC ACID,DECANOIC ACID,-,0.152,0.848,-,299.28
TETRABUTYLAMMONIUM CHLORIDE,L-ARGININE,-,0.889,0.111,-,299.31
TETRABUTYLAMMONIUM CHLORIDE,L-SERINE,-,0.9,0.1,-,299.53
TETRABUTYLAMMONIUM CHLORIDE,L-ARGININE,-,0.875,0.125,-,299.55
L-MENTHOL,HYDROCINNAMIC ACID,-,0.8,0.2,-,299.56
CHOLINE CHLORIDE,XYLITOL,-,0.503,0.497,-,299.611
ETHYLAMMONIUM CHLORIDE,TRIFLUOROACETAMIDE,-,0.67,0.33,-,300.0
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.397,0.603,-,300.0
L-MENTHOL,DECANOIC ACID,-,0.198,0.802,-,300.15
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,CHOLINE CHLORIDE,-,0.496,0.504,-,300.167
PALMITIC ACID,DECANOIC ACID,-,0.099,0.901,-,300.2
THYMOL,1-TETRADECANOL,-,0.7,0.3,-,300.2
TETRADECANOIC ACID,DECANOIC ACID,-,0.3,0.7,-,300.26
TETRABUTYLAMMONIUM CHLORIDE,UREA,-,0.8,0.2,-,300.29
TETRAPROPYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.296,0.704,-,300.3
ETHYLAMMONIUM CHLORIDE,UREA,-,0.396,0.604,-,300.454
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.299,0.701,-,300.72
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.351,0.649,-,300.78
CHOLINE CHLORIDE,DECANOIC ACID,-,0.212,0.788,-,300.98
TETRADECANOIC ACID,DECANOIC ACID,-,0.099,0.901,-,301.1
1.10-PHENANTHROLINE,THYMOL,-,0.109,0.891,-,301.1157
METHYLTRIOCTYLAMMONIUM CHLORIDE,4-PHENYLPHENOL,-,0.5,0.5,-,301.15
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.4,0.6,-,301.15
CHOLINE CHLORIDE,XYLITOL,-,0.462,0.538,-,301.167
1-HEXADECANOL,L-MENTHOL,-,0.199,0.801,-,301.2
DECANOIC ACID,OLEIC ACID,-,0.9,0.1,-,301.2
THYMOL,DECANOIC ACID,-,0.1,0.9,-,301.25
OCTANOIC ACID,LAURIC ACID,-,0.335,0.665,-,301.275
THYMOL,1-TETRADECANOL,-,0.3,0.7,-,301.4
THYMOL,DECANOIC ACID,-,0.6,0.4,-,301.49
THYMOL,LAURIC ACID,-,0.55,0.45,-,301.54
CHOLINE CHLORIDE,D-SORBITOL,-,0.503,0.497,-,301.562
TETRAETHYLAMMONIUM BROMIDE,GLUTARIC ACID,-,0.57,0.43,-,301.6
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.403,0.597,-,301.6
TETRAETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.303,0.697,-,301.66
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.598,0.402,-,301.6942
STEARIC ACID,DECANOIC ACID,-,0.05,0.95,-,301.72
1-HEXADECANOL,THYMOL,-,0.398,0.602,-,301.8
TETRABUTYLAMMONIUM BROMIDE,IMIDAZOLE,-,0.2,0.8,-,301.8287
LAURIC ACID,DECANOIC ACID,-,0.1,0.9,-,301.94
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.499,0.501,-,301.95
SODIUM LAURATE,DECANOIC ACID,-,0.119,0.881,-,301.979
L-MENTHOL,LAURIC ACID,-,0.5,0.5,-,302.0
LAURIC ACID,NONANOIC ACID,-,0.667,0.333,-,302.0
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.909,0.091,-,302.01
CHOLINE CHLORIDE,METHYLUREA,-,0.333,0.667,-,302.15
CHOLINE CHLORIDE,METHYLUREA,-,0.4,0.6,-,302.15
IBUPROFEN,MENTHOL,-,0.2,0.8,-,302.15
NONANOIC ACID,LAURIC ACID,-,0.335,0.665,-,302.275
TETRADECANOIC ACID,DECANOIC ACID,-,0.05,0.95,-,302.31
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.9,0.1,-,302.41
ETHYLAMMONIUM CHLORIDE,TRIFLUOROACETAMIDE,-,0.33,0.67,-,302.5
