Component #1,Component #2,Component #3,x1,x2,x3,T /K,Viscosity /cP
TETRAETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.25,0.75,-,318.15,14.56
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,338.15,14.58
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,308.15,14.6
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,313.15,14.6
DIETHYLAMMONIUM CHLORIDE,PHENOL,-,0.25,0.75,-,323.15,14.6
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.125,0.875,-,338.2,14.6
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,328.15,14.61
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.25,0.75,-,323.15,14.64
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.5,0.5,-,313.15,14.67
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.143,0.857,-,328.15,14.7
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,328.15,14.72
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,323.15,14.79
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,303.15,14.79
IRON(3+) TRICHLORIDE,BENZYLTRIBUTYLAMMONIUM CHLORIDE,-,0.667,0.333,-,298.0,14.8
CHOLINE CHLORIDE,M-CRESOL,-,0.2,0.8,-,328.15,14.8
L-MENTHOL,HEPTANOIC ACID,-,0.333,0.667,-,298.15,14.8
DIETHYLAMMONIUM CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,333.15,14.8
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,323.15,14.82
L-MENTHOL,DECANOIC ACID,-,0.48,0.52,-,298.15,14.84
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.4,0.6,-,313.15,14.84
L-MENTHOL,OCTANOIC ACID,-,0.8,0.2,-,303.15,14.87
L-MENTHOL,CARVACROL,-,0.2,0.8,-,308.15,14.87
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,313.15,14.89
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.47,0.53,-,313.15,14.89
BETAINE,ETHYLENE GLYCOL,-,0.2,0.8,-,333.2,14.9
L-MENTHOL,HYDROCINNAMIC ACID,-,0.59,0.41,-,308.15,14.9
CHOLINE CHLORIDE,M-CRESOL,-,0.25,0.75,-,338.15,14.91
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.4,0.6,-,313.15,14.91
ALPHA-TERPINEOL,MENTHOL,-,0.5,0.5,-,318.15,14.93
CHOLINE CHLORIDE,O-CRESOL,-,0.2,0.8,-,328.15,14.94
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.3,0.7,-,313.15,14.97
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.143,0.857,-,328.15,15.0
L-MENTHOL,THYMOL,-,0.6,0.4,-,313.15,15.01
L-MENTHOL,THYMOL,-,0.39,0.61,-,308.15,15.01
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,283.15,15.02
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,323.15,15.02
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,318.15,15.02
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,298.15,15.025
L-MENTHOL,CARVACROL,-,0.57,0.43,-,313.15,15.04
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,338.15,15.1
ALPHA-TERPINEOL,THYMOL,-,0.5,0.5,-,318.15,15.1
FENCHOL,THYMOL,-,0.5,0.5,-,318.15,15.13
ALUMINIUM CHLORIDE ANHYDROUS,BUTYRAMIDE,-,0.63,0.37,-,333.0,15.1459
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.4,0.6,-,313.15,15.16
L-MENTHOL,LAURIC ACID,-,0.71,0.29,-,308.15,15.19
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,353.2,15.2
CHOLINE CHLORIDE,MALONIC ACID,-,0.5,0.5,-,353.15,15.2
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,293.15,15.2
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.25,0.75,0,353.2,15.2
ALUMINIUM CHLORIDE ANHYDROUS,BUTYRAMIDE,-,0.5,0.5,-,333.0,15.2333
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.333,0.667,-,353.15,15.25
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,313.15,15.25
THYMOL,DECANOIC ACID,-,0.5,0.5,-,293.15,15.28
L-MENTHOL,HYDROCINNAMIC ACID,-,0.49,0.51,-,308.15,15.28
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.6,0.4,-,313.15,15.29
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.25,0.75,-,333.15,15.3
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.332,0.668,-,333.15,15.31
L-MENTHOL,THYMOL,-,0.7,0.3,-,313.15,15.39
ALUMINIUM CHLORIDE ANHYDROUS,UREA,-,0.583,0.417,-,353.0,15.397
TRIETHYLMETHYLAMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,333.15,15.4
CHOLINE CHLORIDE,O-CRESOL,-,0.25,0.75,-,338.15,15.41
TRIETHYLMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,318.15,15.49
TETRAETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.25,0.75,-,313.15,15.51
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,313.15,15.52
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.167,0.833,-,328.15,15.55
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,313.15,15.55
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.167,0.833,-,328.15,15.56
CHOLINE CHLORIDE,M-CRESOL,-,0.333,0.667,-,353.15,15.56
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,323.15,15.56
L-MENTHOL,PHENOL,-,0.3,0.7,-,298.15,15.56
THYMOL,1-TETRADECANOL,-,0.5,0.5,-,308.15,15.561
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.7,0.3,-,313.15,15.57
THYMOL,UNDECYLENIC ACID,-,0.7,0.3,-,298.15,15.6
BIS(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,343.15,15.61
L-MENTHOL,DECANOIC ACID,-,0.81,0.19,-,308.15,15.61
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,308.15,15.63
L-MENTHOL,PHENOL,-,0.67,0.33,-,308.15,15.64
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,333.15,15.645
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,308.15,15.667
PYRUVIC ACID,L-MENTHOL,-,0.5,0.5,0,308.15,15.667
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,343.15,15.7
L-MENTHOL,THYMOL,-,0.5,0.5,-,318.15,15.7
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.6,0.4,-,313.15,15.7
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,333.15,15.71
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.79,0.21,-,313.15,15.76
ALUMINIUM CHLORIDE ANHYDROUS,UREA,-,0.6,0.4,-,353.0,15.7788
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.5,0.5,-,313.15,15.79
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,328.15,15.8308
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,318.15,15.84
L-MENTHOL,HYDROCINNAMIC ACID,-,0.7,0.3,-,308.15,15.85
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,308.15,15.86
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,328.15,15.865
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,293.15,15.88
CAMPHOR,THYMOL,-,0.5,0.5,-,313.15,15.9
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,308.15,15.93
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.7,0.3,-,313.15,15.95
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,318.15,15.96
ETHANAMINIUM. 2-HYDROXY-N.N-BIS(2-HYDROXYETHYL)-N-METHYL- CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,353.15,15.97
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.6,0.4,-,313.15,15.97
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,298.15,15.98
L-MENTHOL,PHENOL,-,0.33,0.67,-,298.15,15.99
LACTIC ACID,D-GLUCOSE,-,0.833,0.167,-,343.0,16.0
L-MENTHOL,CARVACROL,-,0.3,0.7,-,308.15,16.01
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,303.15,16.03
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.2,0.8,-,328.15,16.05
L-MENTHOL,CARVACROL,-,0.65,0.35,-,313.15,16.05
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,338.15,16.09
ETHYLAMMONIUM CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,323.15,16.1
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.7,0.3,-,313.15,16.11
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.346,0.654,-,353.15,16.14
CHOLINE CHLORIDE,PHENOL,-,0.167,0.833,-,308.2,16.16
CHOLINE CHLORIDE,M-CRESOL,-,0.167,0.833,-,318.15,16.17
CHOLINE CHLORIDE,PHENOL,-,0.167,0.833,-,308.15,16.2
CHOLINE CHLORIDE,O-CRESOL,-,0.167,0.833,-,318.15,16.24
TRIETHYLMETHYLAMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,328.15,16.25
CAMPHOR,THYMOL,-,0.5,0.5,-,308.15,16.27
L-MENTHOL,OCTANOIC ACID,-,0.49,0.51,-,293.15,16.27
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,308.15,16.28
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,313.15,16.28
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,348.2,16.3
1-BUTYL-3-METHYLIMIDAZOLIUM TRIFLUOROMETHANESULFONATE,N-METHYLACETAMIDE,-,0.333,0.667,-,298.15,16.33
CHOLINE CHLORIDE,O-CRESOL,-,0.143,0.857,-,313.15,16.34
CHOLINE CHLORIDE,O-CRESOL,-,0.333,0.667,-,353.15,16.4
ETHYLAMMONIUM CHLORIDE,PHENOL,-,0.25,0.75,-,313.15,16.4
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.49,0.51,-,308.15,16.42
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.8,0.2,-,313.15,16.45
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,293.15,16.47
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,293.15,16.5
ALUMINIUM CHLORIDE ANHYDROUS,ACETAMIDE,-,0.6,0.4,-,343.0,16.504
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,308.15,16.51
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.25,0.75,-,318.15,16.59
L-MENTHOL,CARVACROL,-,0.1,0.9,-,303.15,16.59
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.6,0.4,-,308.15,16.59
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,298.15,16.6
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,313.15,16.61
BENZYLTRIETHYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,313.15,16.62
L-MENTHOL,LAURIC ACID,-,0.8,0.2,-,308.15,16.63
L-MENTHOL,THYMOL,-,0.79,0.21,-,313.15,16.63
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,313.15,16.68
CHOLINE CHLORIDE,PHENOL,-,0.2,0.8,-,313.15,16.7
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.167,0.833,-,348.2,16.7
CHOLINE CHLORIDE,PHENOL,-,0.2,0.8,-,313.2,16.71
L-MENTHOL,PHENOL,-,0.7,0.3,-,308.15,16.72
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.7,0.3,-,308.15,16.73
L-MENTHOL,CARVACROL,-,0.8,0.2,-,313.15,16.77
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,328.15,16.79
CHOLINE CHLORIDE,PHENOL,-,0.143,0.857,-,303.15,16.8
COUMARIN,THYMOL,-,0.5,0.5,-,308.15,16.8
COUMARIN,THYMOL,-,0.5,0.5,-,313.15,16.8
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.25,0.75,-,338.15,16.8
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.167,0.833,-,318.15,16.82
CHOLINE CHLORIDE,PHENOL,-,0.143,0.857,-,303.2,16.82
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.2,0.8,-,333.15,16.86
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.249,0.751,-,333.15,16.88
L-MENTHOL,DECANOIC ACID,-,0.7,0.3,-,303.15,16.88
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.25,0.75,-,338.15,16.93
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,333.15,16.954
LACTIC ACID,L-MENTHOL,-,0.5,0.5,0,333.15,16.954
TETRAETHYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,333.15,16.95416
TETRAETHYLAMMONIUM CHLORIDE,OCTANOIC ACID,-,0.25,0.75,-,308.15,16.99
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.2,0.8,-,333.15,16.99
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.05,0.95,-,311.15,17.0
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.1,0.9,-,311.15,17.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,328.15,17.0
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,298.15,17.0
BETAINE,ETHYLENE GLYCOL,-,0.167,0.833,-,323.2,17.0
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,313.15,17.02
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.2,0.8,-,323.15,17.05
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,318.15,17.08
ALUMINIUM CHLORIDE ANHYDROUS,ACETAMIDE,-,0.5,0.5,-,353.0,17.0995
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.25,0.75,-,333.15,17.11
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,308.15,17.12
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,323.15,17.12
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.77,0.23,-,313.15,17.12
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.2,0.8,-,343.15,17.139
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,333.15,17.17
L-MENTHOL,DECANOIC ACID,-,0.41,0.59,-,293.15,17.17
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.143,0.857,-,323.15,17.26
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,323.15,17.268
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.29,0.71,-,308.15,17.3
1-BUTYL-3-METHYLIMIDAZOLIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.333,0.667,-,298.15,17.31
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.143,0.857,-,303.15,17.34
L-MENTHOL,CARVACROL,-,0.38,0.62,-,308.15,17.34
TRIETHYLMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,313.15,17.35
ALPHA-TERPINEOL,THYMOL,-,0.5,0.5,-,313.15,17.4
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,293.15,17.4
DIETHYLAMMONIUM CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,323.15,17.4
MATRINE,N-METHYLFORMAMIDE,-,0.333,0.667,-,293.2,17.4
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.143,0.857,-,323.15,17.41
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.42,0.58,-,308.15,17.41
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,17.47
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,313.15,17.47
L-MENTHOL,THYMOL,-,0.51,0.49,-,308.15,17.47
CHOLINE CHLORIDE,M-CRESOL,-,0.373,0.627,-,353.15,17.53
L-MENTHOL,PHENOL,-,0.4,0.6,-,298.15,17.54
ALUMINIUM CHLORIDE ANHYDROUS,ACETAMIDE,-,0.565,0.435,-,343.0,17.5488
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.25,0.75,-,328.15,17.56
L-MENTHOL,LAURIC ACID,-,0.6,0.4,-,303.15,17.59
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,343.2,17.6
CHOLINE CHLORIDE,M-CRESOL,-,0.2,0.8,-,323.15,17.6
ALUMINIUM CHLORIDE ANHYDROUS,BUTYRAMIDE,-,0.565,0.435,-,323.0,17.6196
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.332,0.668,-,328.15,17.64
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,308.15,17.645
CHOLINE CHLORIDE,M-CRESOL,-,0.25,0.75,-,333.15,17.65
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,308.15,17.67
TETRAPROPYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,333.15,17.67188
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.25,0.75,-,363.15,17.68
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,308.15,17.68
ALUMINIUM CHLORIDE ANHYDROUS,BUTYRAMIDE,-,0.524,0.476,-,323.0,17.6863
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.333,0.667,-,348.15,17.7
TRIMETHYLAZANIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,323.15,17.71
ALUMINIUM CHLORIDE ANHYDROUS,BUTYRAMIDE,-,0.6,0.4,-,323.0,17.7219
L-MENTHOL,PHENOL,-,0.75,0.25,-,308.15,17.8
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,318.15,17.83
CHOLINE CHLORIDE,O-CRESOL,-,0.2,0.8,-,323.15,17.85
L-MENTHOL,PHENOL,-,0.5,0.5,-,303.15,17.88
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.143,0.857,-,338.2,17.9
ALUMINIUM CHLORIDE ANHYDROUS,PROPIONAMIDE,-,0.565,0.435,-,323.0,17.9339
BIS(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,338.15,17.96
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.2,0.8,-,348.15,18.0
LACTIC ACID,D-GLUCOSE,-,0.833,0.167,-,333.0,18.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,338.15,18.02
ALUMINIUM CHLORIDE ANHYDROUS,PROPIONAMIDE,-,0.5,0.5,-,333.0,18.0417
FENCHOL,MENTHOL,-,0.5,0.5,-,318.15,18.07
L-MENTHOL,NONANOIC ACID,-,0.5,0.5,-,298.15,18.1
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.125,0.875,-,328.2,18.1
CHOLINE CHLORIDE,M-CRESOL,-,0.333,0.667,-,348.15,18.12
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,323.15,18.12
L-MENTHOL,HYDROCINNAMIC ACID,-,0.8,0.2,-,308.15,18.12
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,308.15,18.14
CHOLINE CHLORIDE,O-CRESOL,-,0.25,0.75,-,333.15,18.19
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.167,0.833,-,323.15,18.26
L-MENTHOL,HYDROCINNAMIC ACID,-,0.41,0.59,-,303.15,18.26
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,298.15,18.265
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,313.15,18.27
ALUMINIUM CHLORIDE ANHYDROUS,UREA,-,0.545,0.455,-,343.0,18.2842
L-MENTHOL,NONANOIC ACID,-,0.333,0.667,-,298.15,18.3
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,298.15,18.3
ALPHA-TERPINEOL,CAMPHOR,-,0.5,0.5,-,298.15,18.3
ALUMINIUM CHLORIDE ANHYDROUS,PROPIONAMIDE,-,0.6,0.4,-,323.0,18.3158
L-MENTHOL,4-PHENYLBUTYRIC ACID,-,0.79,0.21,-,308.15,18.32
ALUMINIUM CHLORIDE ANHYDROUS,ACETAMIDE,-,0.524,0.476,-,343.0,18.3259
ALUMINIUM CHLORIDE ANHYDROUS,UREA,-,0.565,0.435,-,343.0,18.3444
ETHANAMINIUM. 2-HYDROXY-N.N-BIS(2-HYDROXYETHYL)-N-METHYL- CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,348.15,18.35
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.3,0.7,-,308.15,18.36
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,308.15,18.38
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.4,0.6,-,308.15,18.38
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.25,0.75,0,343.2,18.4
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.4,0.6,-,308.15,18.44
L-MENTHOL,THYMOL,-,0.3,0.7,-,303.15,18.45
1-BUTYL-3-METHYLIMIDAZOLIUM CHLORIDE,ETHYLENE GLYCOL,-,0.5,0.5,-,298.15,18.5
L-CYSTINE,DECANOIC ACID,-,0.333,0.667,-,293.15,18.5
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.167,0.833,-,328.15,18.5
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,323.15,18.5065
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,308.15,18.54
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.167,0.833,-,323.15,18.56
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,303.15,18.57
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.2,0.8,-,323.15,18.6
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.333,0.667,0,353.2,18.6
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.346,0.654,-,348.15,18.61
L-MENTHOL,DECANOIC ACID,-,0.48,0.52,-,293.15,18.62
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,303.15,18.63
LAURIC ACID,L-MENTHOL,-,0.5,0.5,0,303.15,18.63
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,328.15,18.652
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.5,0.5,-,308.15,18.66
ALUMINIUM CHLORIDE ANHYDROUS,PROPIONAMIDE,-,0.63,0.37,-,323.0,18.6997
DIETHYLAMMONIUM CHLORIDE,PHENOL,-,0.25,0.75,-,313.15,18.7
TETRAETHYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,18.71
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,333.15,18.76
DECANOIC ACID,1-OCTANOL,-,0.333,0.667,-,298.15,18.8
THYMOL,CAMPHOR,-,0.7,0.3,-,298.15,18.8
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,298.15,18.8
ALPHA-TERPINEOL,MENTHOL,-,0.5,0.5,-,313.15,18.9
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,298.15,18.9
MATRINE,N-METHYLACETAMIDE,-,0.333,0.667,-,293.2,18.9
TRIETHYLMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,308.15,18.93
BENZYLTRIETHYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,308.15,18.94
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,323.15,18.966
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,303.15,18.98
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.142,0.858,-,333.15,18.98
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.05,0.95,-,309.15,19.0
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.1,0.9,-,309.15,19.0
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.15,0.85,-,311.15,19.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.333,0.667,-,323.0,19.0
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,318.15,19.0
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,323.15,19.0
L-MENTHOL,PHENOL,-,0.8,0.2,-,308.15,19.0
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.47,0.53,-,308.15,19.0
CHOLINE CHLORIDE,O-CRESOL,-,0.333,0.667,-,348.15,19.07
CHOLINE CHLORIDE,PHENOL,-,0.25,0.75,-,318.15,19.1
ALUMINIUM CHLORIDE ANHYDROUS,PROPIONAMIDE,-,0.524,0.476,-,323.0,19.1176
CHOLINE CHLORIDE,PHENOL,-,0.25,0.75,-,318.2,19.14
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,308.15,19.15
L-MENTHOL,HYDROCINNAMIC ACID,-,0.49,0.51,-,303.15,19.18
TETRAETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,303.15,19.19
