TZVP,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60
3-METHYLBENZOIC ACID,0,0,0,0,0,0,0,0,0.052,0.492,1.189,1.628,1.522,0.785,0.263,0.41,0.804,0.857,0.427,0.304,0.439,1.056,3.639,7.5,9.766,10.314,10.755,10.292,8.689,8.135,9.675,11.461,11.322,10.928,11.467,9.094,4.553,2.27,2.104,2.583,2.778,3.111,3.886,3.703,2.459,1.108,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-AMINOPYRIDINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,1.319,2.208,2.399,2.862,2.984,1.994,1.362,2.577,5.2,7.306,7.29,5.9,4.664,3.64,3.423,3.93,4.191,4.884,6.927,10.066,11.547,9.315,5.625,2.74,1.155,0.828,1.249,1.859,1.827,1.285,1.038,1.111,1.159,0.952,0.7,0.716,0.892,0.81,0.543,0.305,0.086,0,0,0,0,0,0
4-CHLOROBENZOIC ACID,0,0,0,0,0,0,0,0,0.12,0.614,1.332,1.739,1.393,0.591,0.274,0.589,0.88,0.683,0.348,0.567,2.733,6.084,7.076,5.467,3.764,4.148,6.294,7.435,7.217,8.873,12.596,15.268,16.243,14.698,11.096,7.325,3.823,2.167,2.277,2.519,2.718,3.347,3.904,3.29,1.952,0.763,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-CHLOROPHENOL,0,0,0,0,0,0,0,0,0.035,0.297,0.803,1.064,1.219,1.5,1.223,0.565,0.272,0.358,0.613,0.908,2.055,4.622,6.836,6.833,5.118,3.778,3.636,4.043,4.372,4.544,6.094,9.415,12.66,15.068,16.59,14.799,8.497,3.015,1.764,1.499,0.902,1.131,1.711,1.646,0.886,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-ETHYLPHENOL,0,0,0,0,0,0,0,0,0,0.11,0.577,0.954,0.967,1.255,1.445,0.977,0.438,0.258,0.378,0.614,0.797,1.375,3.016,5.191,6.687,8.337,10.818,12.606,11.907,9.591,8.988,9.699,10.536,11.187,10.044,8.958,9.54,7.815,3.732,1.915,1.479,0.96,1.3,1.832,1.559,0.665,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-HYDROXYBENZOIC ACID,0,0,0,0,0,0,0,0,0.191,1.143,2.22,3.037,3.428,2.102,0.644,0.635,1.074,1.284,1.17,1.19,1.803,3.902,6.497,6.425,4.408,3.42,4.318,6.049,6.869,6.638,6.499,8.172,10.783,11.454,10.318,7.394,4.138,3.51,3.994,3.641,3.244,3.938,5.49,5.543,3.646,1.767,0.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-HYDROXYPYRIDINE,0,0,0,0,0,0,0,0,0.089,0.502,0.976,1.254,1.571,1.469,0.797,0.361,0.36,0.397,0.536,0.94,1.674,3.633,6.438,7.225,5.756,4.322,3.68,3.711,4.063,4.609,6.241,8.752,10.699,10.674,7.468,3.776,2.625,2.624,2.041,1.48,2.084,2.846,2.45,1.665,1.283,1.074,0.832,0.667,0.703,0.85,0.78,0.521,0.296,0.089,0,0,0,0,0,0,0
4-METHOXYBENZYL ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0.271,1.027,1.425,1.174,1.162,1.192,0.78,0.388,0.365,0.683,1.498,4.038,9.764,15.786,16.528,12.767,9.562,7.933,6.808,6.54,6.682,6.044,6.459,8.356,9.508,10.325,9.012,4.746,2.135,1.938,1.782,1.925,2.311,2.36,2.137,1.47,0.889,0.741,0.432,0.079,0,0,0,0,0,0,0,0,0,0
4-METHYLMORPHOLINE N-OXIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,2.831,8.394,13.375,15.817,16.895,16.797,14.679,11.863,9.212,5.872,2.936,1.607,1.345,1.5,1.345,0.804,0.669,0.859,1.357,1.79,1.587,1.631,1.842,1.923,1.748,0.956,0.454,0.317,0.274,0.347,0.2,0.028,0,0,0,0,0,0
4-METHYLPHENOL,0,0,0,0,0,0,0,0,0,0.09,0.53,0.938,0.974,1.237,1.472,1.043,0.467,0.26,0.372,0.612,0.808,1.35,2.879,5.291,8.023,9.716,9.728,8.785,6.976,5.605,6.951,9.654,9.726,8.469,8.496,9.107,9.954,7.814,3.448,1.8,1.489,0.968,1.282,1.821,1.581,0.695,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-NITROBENZOIC ACID,0,0,0,0,0,0,0,0.021,0.314,0.979,1.637,1.703,0.973,0.355,0.476,0.854,0.805,0.391,0.367,1.979,5.64,7.838,6.608,5.054,5.294,6.838,8.176,8.672,9.648,11.769,13.361,11.127,5.671,2.417,2.585,4.816,7.943,9.726,8.736,6.356,5.638,5.855,5.07,3.146,1.218,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-PHENYLBUTYRIC ACID,0,0,0,0,0,0,0,0,0.028,0.389,0.998,1.516,1.665,1.019,0.328,0.344,0.733,0.875,0.512,0.339,0.45,0.674,3.3,9.121,15.208,18.966,19.122,16.188,12.048,8.849,7.419,7.15,6.882,6.988,7.738,8.882,11.176,10.954,6.599,2.897,2.265,3.331,4.349,4.005,2.829,1.983,0.967,0.174,0.025,0,0,0,0,0,0,0,0,0,0,0,0
4-PHENYLPHENOL,0,0,0,0,0,0,0,0,0.031,0.376,0.942,1.23,1.55,1.616,0.875,0.294,0.329,0.412,0.417,0.716,1.988,4.433,8.548,13.206,13.845,10.503,7.752,6.569,5.727,6.096,8.264,9.066,9.237,13.063,17.266,19.869,19.51,11.707,3.725,1.68,1.188,0.806,1.278,1.779,1.54,0.694,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-[(2-CHLOROPHENYL)METHYL]-4.5.6.7-TETRAHYDROTHIENO[3.2-C]PYRIDIN-5-IUM_CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,1.033,4.407,10.047,15.938,19.388,18.35,14.931,12.815,12.211,11.399,10.468,11.954,14.881,16.945,19.135,21.763,19.862,11.289,4.384,2.266,1.108,0.736,1.592,2.867,2.929,2.226,5.664,10.985,8.962,2.639,0.039,0,0,0,0,0,0,0,0,0,0,0,0
5-PHENYLVALERIC ACID,0,0,0,0,0,0,0,0,0.024,0.331,0.937,1.489,1.652,1.089,0.391,0.334,0.753,0.916,0.504,0.287,0.415,0.394,1.853,7.199,13.852,17.897,20.613,21.883,19.165,14.29,10.358,8.685,8.334,7.698,7.661,9.535,11.736,10.142,5.72,3.095,2.637,3.307,4.386,4.103,2.828,1.849,0.789,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETAMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0.788,1.861,2.612,2.607,2.438,2.068,1.356,1.145,1.68,2.852,4.196,5.239,5.506,4.384,3.974,4.735,5.231,5.72,4.959,2.959,1.771,1.517,1.694,1.893,1.445,0.639,0.441,0.901,1.365,1.483,1.26,1.75,3.307,3.882,3.037,2.182,1.206,0.281,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN,0,0,0,0,0,0,0,0,0,0.162,0.682,1.169,1.543,2.295,2.721,2.052,1.127,0.805,1.105,1.736,2.427,3.937,6.599,8.861,9.442,8.447,7.494,7.498,7.881,9.063,9.407,7.952,8.739,11.271,11.818,11.087,8.141,3.465,1.778,2.213,2.12,2.677,3.49,3.726,4.107,3.597,1.946,1.025,0.724,0.294,0.044,0,0,0,0,0,0,0,0,0,0
ACETIC ACID,0,0,0,0,0,0,0,0,0.029,0.345,0.965,1.515,1.629,1.05,0.387,0.349,0.797,0.94,0.456,0.259,0.442,1.421,3.512,5.354,5.992,5.323,4.764,4.801,5.398,6.121,4.537,2.051,1.174,0.948,1.086,1.743,2.302,2.333,1.943,1.76,2.341,3.836,4.914,4.224,2.845,1.799,0.76,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETYLCHOLINE CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.807,1.789,5.414,12.491,18.771,19.204,14.599,11.591,12.105,12.66,10.572,7.269,5.744,5.876,5.87,4.34,2.08,1.097,1.438,1.652,1.469,1.532,1.973,2.344,2.46,3.394,5.096,6.873,7.413,4.862,3.579,9.086,12.176,5.631,0.335,0,0,0,0,0,0,0,0,0,0
ADIPIC ACID,0,0,0,0,0,0,0,0,0.054,0.769,1.972,3.012,3.35,2.063,0.658,0.683,1.466,1.748,1.022,0.685,0.907,1.114,3.668,7.194,9.464,13.662,17.391,16.271,12.2,8.176,5.169,3.345,2.743,2.677,2.767,3.171,3.731,4.227,4.382,4.273,4.9,6.471,8.24,7.914,5.688,3.936,1.933,0.367,0.054,0,0,0,0,0,0,0,0,0,0,0,0
ALLYLTRIMETHYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.449,1.32,4.33,10.676,15.617,15.138,11.941,9.828,11.77,14.642,12.179,8.14,6.707,5.717,4.472,3.115,2.595,2.482,1.587,0.947,0.579,0.366,0.552,0.545,0.279,0.187,1.121,2.989,3.211,2.548,8.467,13.83,7.407,0.724,0,0,0,0,0,0,0,0,0,0
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,1.081,3.33,5.896,8.838,16.62,28.171,31.01,22.658,16.467,15.589,14.489,14.845,17.146,20.287,25.751,31.385,28.156,14.595,3.663,0.968,0.893,0.607,0.463,0.304,1.008,2.759,3.042,1.708,1.81,11.017,19.981,11.969,1.689,0,0,0,0,0,0,0,0,0,0,0
ALPHA-TERPINEOL,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.431,0.792,0.646,0.523,1.007,1.206,0.763,0.359,0.215,0.381,0.889,3.385,10.378,19.61,25.016,23.655,18.81,15.468,16.703,18.293,13.45,6.551,3.355,2.967,3.147,2.619,2.082,1.65,0.868,0.579,0.877,1.297,1.669,1.466,1.21,1.115,0.593,0.104,0,0,0,0,0,0,0,0,0,0
ALUMINIUM CHLORIDE ANHYDROUS,0,0,0,0,0,0,0,0.226,0.749,1.154,1.291,1.157,0.927,1.782,3.081,2.357,0.685,0.192,0.214,0.079,0.119,0.39,0.456,1.29,2.767,2.255,1.062,1.073,1.67,4.351,9.209,14.841,16.143,16.657,21.904,17.4,4.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMMONIUM THIOCYANATE,0,0,0,0,0,0,0,0,0,0.204,3.792,10.151,10.499,5.393,2.274,1.488,1.464,1.329,1.031,0.758,1.173,1.833,1.001,0.077,0,0,0,0.028,0.085,0.118,0.209,0.701,1.393,2.046,3.551,6.93,9.329,6.675,3.681,5.888,9.395,12.137,12.051,6.1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN,0,0,0,0,0,0,0,0,0.069,0.469,0.985,1.203,1.315,1.112,0.554,0.297,0.69,1.019,0.58,0.338,1.349,4.645,9.701,12.273,10.714,9.486,10.486,10.356,10.173,11.126,10.718,10.392,11.336,11.028,7.937,5.024,4.134,3.894,4.384,5.648,6.343,6.127,5.546,4.502,2.961,1.183,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATROPINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.195,0.528,0.54,0.371,0.614,1.02,2.325,5.991,11.431,18.582,26.409,31.148,30.681,26.057,20.782,17.988,17.07,15.273,12.666,11.646,12.638,11.392,6.292,2.947,3.265,4.069,4.461,4.219,2.794,1.746,1.932,2.283,1.905,1.195,0.697,0.382,0.271,0.243,0.223,0.102,0,0,0,0,0,0
AZEPAN-2-ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0.532,1.081,1.282,1.204,1.006,0.63,0.352,0.529,1.34,3.301,6.7,12.05,17.101,18.093,16.317,13.176,9.805,7.923,6.087,3.855,2.378,1.644,1.188,0.835,0.514,0.22,0.369,1.006,1.238,1.062,1.451,2.789,3.931,3.452,2.372,1.654,0.821,0.182,0.009,0,0,0,0,0,0,0,0
BENZAMIDE,0,0,0,0,0,0,0,0,0,0,0,0.074,0.38,1.239,2.253,2.422,2.066,2.056,1.974,1.481,1.34,2.67,5.736,8.661,8.877,6.838,5.383,5.323,5.72,6.466,7.483,8.123,8.94,11.194,13.345,10.881,4.973,1.346,0.577,0.822,1.108,1.068,1.26,1.647,2.756,3.844,3.127,1.981,1.122,0.299,0.014,0,0,0,0,0,0,0,0,0,0
BENZENAMINIUM. N-(2-HYDROXYETHYL)-N.N-DIMETHYL-.CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.145,0.469,1.893,5.833,10.804,13.424,14.092,15.044,15.278,14.738,13.601,10.476,6.831,5.111,5.504,5.996,6.579,8.256,9.422,7.651,3.792,1.57,1.304,1.385,1.731,2.348,2.581,2.549,2.942,3.637,6.805,12.134,11.787,5.531,1.346,0.281,0.011,0,0,0,0,0,0,0,0,0
BENZILIC ACID,0,0,0,0,0,0,0,0,0.187,0.817,1.77,2.421,2.017,1.194,1.183,1.614,1.475,0.865,0.792,0.996,0.829,1.887,7.054,15.39,18.913,15.53,11.802,9.948,9.111,8.707,8.857,9.134,10.511,13.817,18.139,21.249,16.343,6.625,1.997,2.133,3.226,4.454,5.189,4.206,2.504,1.725,1.58,1.099,0.337,0.007,0,0,0,0,0,0,0,0,0,0,0
BENZIMIDAZOLE,0,0,0,0,0,0,0,0,0,0,0.137,1.02,1.908,1.663,1.188,1.098,1.029,0.84,1.131,2.291,2.922,2.681,4.25,7.848,9.21,7.027,5.252,5.291,5.106,5.302,6.804,7.732,7.525,8.107,8.954,8.928,8.945,7.268,3.665,1.486,1.367,1.654,1.358,1.018,1.026,1.026,1.011,0.968,0.868,0.859,0.937,0.682,0.228,0.032,0,0,0,0,0,0,0
BENZOIC ACID,0,0,0,0,0,0,0,0,0.064,0.514,1.243,1.678,1.471,0.715,0.267,0.465,0.832,0.811,0.397,0.31,0.45,1.769,6.184,9.95,8.794,6.276,6.412,7.329,6.838,6.346,6.395,7.43,9.556,11.684,12.326,8.78,3.934,2.101,2.203,2.578,2.695,3.18,3.905,3.584,2.353,1.012,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZOYLCHOLINE CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.53,1.464,3.899,9.481,15.367,17.505,17.128,16.071,15.749,18.264,18.438,13.146,9.137,8.7,8.127,8.165,9.859,11.879,12.266,8.158,3.112,1.549,1.581,1.509,1.773,2.886,3.933,4.074,3.804,2.911,2.625,8.865,14.189,7.643,0.787,0,0,0,0,0,0,0,0,0,0
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.824,2.412,5.33,9.438,13.698,15.868,17.79,19.385,18.149,15.46,11.667,7.897,5.526,4.952,5.528,5.593,6.142,8.327,10.323,8.302,3.727,1.754,1.704,1.532,1.736,2.559,3.399,3.368,3.207,6.366,13.066,13.674,6.232,1.3,0.379,0.013,0,0,0,0,0,0,0,0,0
BENZYLTRIBUTYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.734,2.902,5.963,8.861,12.696,17.351,19.871,24.868,33.515,36.507,31.787,24.367,20.207,19.887,21.592,20.069,11.927,6.284,5.022,3.812,2.485,0.959,0.101,0.03,0.222,0.67,1.113,1.459,1.692,2.05,5.188,9.988,9.171,3.82,0.899,0.35,0.127,0.045,0,0,0,0,0
BENZYLTRIETHYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.237,1.135,3.263,6.665,10.824,16.053,22.105,25.196,22.606,17.486,13.593,11.18,11.52,13.152,11.088,7.616,6.402,6.848,7.598,6.399,3.399,1.051,0.164,0.071,0.188,0.36,0.615,0.936,1.21,1.738,3.294,8.441,12.771,8.253,1.716,0,0,0,0,0,0,0,0,0
BENZYLTRIMETHYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0.546,1.563,4.341,9.531,14.361,16.311,16.197,14.695,14.851,16.649,14.438,9.514,7.027,6.072,5.324,5.96,7.611,9.389,8.45,3.951,0.739,0.322,0.361,0.207,0.181,0.235,0.802,2.681,3.48,2.904,8.474,13.459,7.083,0.674,0,0,0,0,0,0,0,0,0,0
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.145,0.372,1.011,2.146,3.178,4.483,7.76,16.89,30.247,33.935,25.163,18.445,17.194,15.537,15.223,17.311,19.928,24.537,30.897,30.386,20.293,10.694,4.976,1.296,0.063,0.052,0.21,0.375,0.606,1.243,1.852,2.159,2.247,3.034,11.635,17.99,8.519,0.215,0,0,0,0,0,0,0,0,0
BENZYLTRIPROPYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.866,3.015,6.129,9.35,12.992,17.759,23.333,27.311,26.824,23.161,19.31,16.894,15.121,15.62,16.739,12.632,7.865,6.576,5.418,3.664,2.183,0.84,0.096,0,0.156,0.497,0.859,1.099,1.249,1.978,5.411,10.39,9.855,4.147,0.731,0.199,0.05,0,0,0,0,0,0
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,0,0,0,0,0,0,0,0,0,0,0.007,0.503,2.361,3.777,2.98,2.138,1.951,1.286,0.815,1.018,0.986,0.868,0.916,0.843,3.45,10.497,16.927,19.672,20.76,19.968,18.058,17.29,16.756,12.949,7.676,7.854,10.334,7.982,3.415,0.989,0.618,0.85,0.959,1.303,1.783,1.506,1.092,1.289,1.731,1.683,0.886,0.379,0.37,0.284,0.145,0.059,0.013,0,0,0,0
BETAINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.62,1.753,4.739,10.766,15.899,15.289,10.623,7.025,8.224,12.091,10.77,5.64,2.955,1.718,1.002,0.938,0.777,0.674,0.644,0.577,0.631,0.784,0.823,0.625,0.842,1.632,1.874,1.703,2.282,3.775,5.343,5.541,4.484,3.27,2.472,2.37,1.733,0.503,0,0,0,0,0,0
BETAINE MONOHYDRATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.606,2.158,6.04,12.248,16.288,14.826,10.446,8.306,10.96,13.356,10.346,5.672,3.006,1.815,1.433,1.297,1.14,1.308,1.477,1.501,2.194,2.704,2.672,3.529,4.801,4.344,3.273,3.759,4.5,4.475,3.915,3.334,3.036,2.489,1.843,1.027,0.236,0,0,0,0,0,0,0
BIS(2-HYDROXYETHYL)DIMETHYLAMMONIUM_CHLORIDE,0,0,0,0,0,0,0,0,0,0,0.256,1.516,2.832,2.651,2.241,2.409,2.484,2.365,4.06,9.266,14.406,15.048,13.273,11.953,10.672,10.638,9.952,6.525,3.845,3.453,3.7,3.848,3.056,1.595,1.014,0.958,0.635,0.417,0.763,1.418,2.635,3.464,2.703,2.559,4.342,5.648,5.118,9.935,15.757,9.68,1.602,0,0,0,0,0,0,0,0,0,0
BORIC ACID,0,0,0,0,0,0,0,0,0,0.178,1.572,3.382,2.959,2.508,3.593,3.04,1.682,1.753,2.155,1.731,0.867,0.363,0.382,0.889,1.395,1.253,0.991,1.361,2.186,2.892,3.291,3.587,3.315,2.36,2.036,2.669,2.52,1.546,1.505,1.971,2.548,3.877,4.07,2.528,2.325,4.24,4.392,1.711,0.053,0,0,0,0,0,0,0,0,0,0,0,0
BUTYLPARABEN,0,0,0,0,0,0,0,0,0.139,0.68,1.149,1.514,1.835,1.184,0.355,0.306,0.426,0.409,0.526,0.808,1.248,2.906,5.562,7.394,8.197,10.045,14.977,20.858,21.953,17.588,14.001,14.512,17.067,17.303,13.881,8.922,4.035,2.251,3.342,3.535,2.51,2.611,4.373,5.516,4.32,2.004,0.52,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTYLTRIMETHYLAMMONIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.344,1.092,3.898,9.702,13.999,13.132,9.849,8.391,13.475,21.683,21.652,15.388,10.865,8.188,6.136,5.368,4.349,1.705,0.103,0.041,0.174,0.491,0.702,0.442,0.123,0.353,1.599,3.118,2.882,1.764,7.818,14.54,8.42,0.968,0,0,0,0,0,0,0,0,0,0
BUTYLTRIPHENYLPHOSPHONIUM BROMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.459,2.141,4.56,7.149,14.022,24.611,27.161,21.06,20.116,24.459,24.216,20.831,19.71,20.973,24.094,29.66,30.179,18.8,5.936,0.857,0.103,0.004,0,0.068,0.258,0.365,0.4,1.774,3.962,6.607,13.585,15.717,6.418,0.092,0,0,0,0,0,0,0,0,0,0
BUTYRAMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0.764,1.781,2.523,2.417,2.301,2.217,1.482,1.048,1.55,2.027,2.274,3.148,5.615,9.32,12.189,12.188,9.686,8.405,8.603,8.632,7.452,4.185,1.898,1.652,1.41,0.704,0.395,0.811,1.308,1.272,0.981,1.68,3.489,4.127,2.931,1.802,0.952,0.215,0,0,0,0,0,0,0,0,0,0
BUTYRIC ACID,0,0,0,0,0,0,0,0,0.022,0.365,0.996,1.517,1.625,1.005,0.345,0.35,0.744,0.879,0.503,0.326,0.443,0.443,1.435,3.094,4.286,7.205,11.912,14.35,12.325,8.77,6.837,6.102,6.282,5.578,3.036,1.68,1.937,2.125,2.05,1.99,2.444,3.274,4.072,4.041,3.019,2.077,1.044,0.213,0.03,0,0,0,0,0,0,0,0,0,0,0,0
CAFFEIC ACID,0,0,0,0,0,0,0,0.051,0.453,1.304,2.42,3.768,4.145,2.782,1.395,1.046,1.361,1.9,2.034,1.826,3.008,6.507,8.709,6.892,4.3,3.695,4.217,5.504,8.009,9.561,9.279,10.612,13.119,14.023,13.531,10.612,6.134,4.153,4.933,5.308,4.568,4.313,5.248,5.972,4.898,3.018,1.425,0.372,0.03,0,0,0,0,0,0,0,0,0,0,0,0
CALCIUM CHLORIDE HEXAHYDRATE,0,0,0,1.919,5.564,6.338,4.599,3.947,3.178,1.168,0.031,0,0.09,2.442,5.297,3.63,0.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,3.257,5.376,2.564,0.049,0,0,0.085,0.517,2.065,7.213,16.517,22.326,16.133,4.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPHOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.767,2.418,6.534,14.117,20.653,22.657,20.425,16.509,14.957,16.333,15.767,9.377,2.942,1.246,1.219,0.895,0.96,1.331,1.384,1.989,3.117,3.04,2.383,2.176,1.465,0.562,0.136,0,0,0,0,0,0,0,0,0,0,0,0
CARBAMIMIDOYLAZANIUM CHLORIDE,0,0,0,0,0.056,0.849,3.31,6.751,9.143,7.926,4.07,2.11,1.997,1.892,2.271,2.546,2.077,1.617,1.624,1.507,0.965,0.751,1.068,1.16,0.972,1.073,1.087,0.717,0.779,1.245,1.49,1.463,1.574,2.179,2.997,3.17,2.524,1.739,0.89,0.588,1.233,2.361,3.159,2.745,2.348,3.296,8.638,15.823,13.483,4.711,0.641,0.177,0,0,0,0,0,0,0,0,0
CARVACROL,0,0,0,0,0,0,0,0,0,0.093,0.313,0.521,0.691,0.935,0.97,0.639,0.43,0.411,0.33,0.244,0.471,1.048,2.352,5.392,9.006,12.908,16.547,17.374,15.662,13.028,12.328,12.931,13.184,12.923,10.173,7.758,8.056,8.025,5.485,2.809,1.824,1.097,0.883,1.556,1.866,1.19,0.315,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0
CERIUM NITRATE,1.434,2.937,3.178,2.005,1.277,1.004,0.423,0.054,0.085,0.254,0.316,0.243,0.614,1.182,1.153,0.818,0.838,1.356,2.474,4.101,4.567,4.119,4.091,3.14,1.603,1.8,3.587,4.075,2.984,2.835,3.858,5.26,6.359,7.317,9.347,13.225,17.681,19.16,17.935,15.492,11.456,6.512,2.097,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERIUM(III) CHLORIDE,1.226,0.957,0.424,0.129,0.723,2.222,2.761,1.526,0.312,0.025,0.155,0.243,0.12,0.007,0,0,0,0,0,0.121,0.393,0.426,0.157,0.003,0.548,2.269,2.985,1.614,0.705,0.453,0.378,0.578,0.336,0.582,1.676,3.264,7.856,21.961,36.009,27.513,7.749,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CETRIMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.617,1.754,5.761,12.271,15.704,14.129,11.182,10.449,13.345,14.964,12.202,8.142,5.07,4.1,3.818,2.917,2.558,2.289,1.465,1.076,0.884,0.547,0.411,0.244,0.815,2.752,3.658,2.237,3.255,11.674,15.559,6.609,0.045,0,0,0,0,0,0,0,0,0,0,0
CETRIMONIUM BROMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.789,2.237,6.399,13.225,16.558,14.122,10.908,10.436,15.941,26.475,39.501,52.351,55.632,46.492,34.029,24.113,19.798,15.947,6.236,0.176,0,0,0.056,0.241,0.346,0.206,1.172,3.277,3.53,7.808,16.681,14.421,4.168,0,0,0,0,0,0,0,0,0,0,0
CHLORMEQUAT CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.802,1.945,5.528,12.408,18.031,17.267,11.967,7.973,8.288,10.067,8.179,4.752,3.285,2.855,3.784,4.847,4.125,3.003,4.34,7.299,6.87,3.47,1.136,0.378,0.21,0.105,0.192,1.451,3.477,3.269,1.919,8.627,15.209,7.881,0.457,0,0,0,0,0,0,0,0,0,0
CHLOROACETIC ACID,0,0,0,0,0,0,0,0.041,0.562,1.432,1.725,1.328,0.715,0.451,0.816,0.961,0.458,0.54,2.418,4.48,4.443,3.519,2.954,2.391,2.688,3.663,3.56,2.998,3.014,3.101,3.323,3.606,3.157,2.73,5.01,8.045,7.825,5.632,3.764,2.851,3.257,4.587,4.629,3.066,1.476,0.402,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLOROTHYMOL,0,0,0,0,0,0,0,0,0.05,0.254,0.509,0.694,0.781,0.718,0.573,0.416,0.485,0.699,0.671,0.481,0.385,0.746,1.924,4.447,9.131,14.204,17.25,17.812,14.778,10.808,12.009,17.41,18.781,14.486,12.323,13.107,11.063,6.375,2.83,1.711,1.185,0.761,1.08,1.608,1.489,0.584,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOLIN ACETATE,0,0,0,0,0,0,0,0,0,0,0.05,0.55,1.31,1.491,1.289,1.162,1.252,1.57,2.8,7.079,13.416,16.091,13.249,9.827,9.612,12.887,15.193,12.349,8.223,5.611,4.117,4.413,6.251,7.032,4.846,2.698,1.994,1.261,1.14,1.533,1.693,1.947,1.97,1.585,1.593,2.147,3.05,3.866,4.048,4.806,5.315,3.976,2.599,1.841,1.253,1.051,1.08,0.985,0.436,0.021,0
