Component #1,Component #2,Component #3,x1,x2,x3,T /K,Density /g/cm^3
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.333,0.667,-,298.15,0.99517
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,338.15,0.99582
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.111,0.889,-,313.15,0.995834
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.75,0.25,-,293.15,0.996
TETRAETHYLAMMONIUM CHLORIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,293.15,0.996012
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,293.15,0.9963
MATRINE,TETRADECANOIC ACID,-,0.5,0.5,-,313.15,0.99638
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,328.15,0.99653
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.091,0.909,-,353.15,0.99659
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,343.15,0.997
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,343.15,0.997
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,343.15,0.997
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,328.15,0.997059
2-HYDROXYETHYLAZANIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.1,0.9,-,313.15,0.9971
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,318.15,0.997106
METHYLTRIOCTYLAMMONIUM CHLORIDE,2-NITROBENZOIC ACID,-,0.5,0.5,-,298.15,0.9979
MATRINE,LAURIC ACID,-,0.5,0.5,-,328.15,0.9981
2-HYDROXYETHYLAZANIUM CHLORIDE,TRIETHYLENETETRAMINE,-,0.1,0.9,-,313.15,0.9981
TETRABUTYLAMMONIUM CHLORIDE,L-ARGININE,-,0.857,0.143,-,313.15,0.9983
TETRAHEXYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,308.15,0.9983
TETRAETHYLAMMONIUM CHLORIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,293.15,0.9986
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,343.15,0.99891
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,293.15,0.999
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,338.15,0.99926
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.111,0.889,-,308.15,0.999532
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,353.15,1.0
IRON(3+) TRICHLORIDE,BENZYLTRIBUTYLAMMONIUM CHLORIDE,-,0.667,0.333,-,298.0,1.0001
MATRINE,TETRADECANOIC ACID,-,0.5,0.5,-,308.15,1.00011
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,323.15,1.000612
ALUMINIUM CHLORIDE ANHYDROUS,BENZYLTRIBUTYLAMMONIUM CHLORIDE,-,0.667,0.333,-,298.0,1.0007
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,353.15,1.00073
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,313.15,1.000806
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.05,0.95,-,293.0,1.001
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.25,0.75,-,313.15,1.001
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.667,0.333,-,303.15,1.001
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,338.15,1.001
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,323.15,1.001
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,348.15,1.0011
TETRAHEXYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,303.15,1.0013
ZINCCHLORIDE,BENZYLTRIBUTYLAMMONIUM CHLORIDE,-,0.667,0.333,-,298.0,1.0014
MATRINE,LAURIC ACID,-,0.5,0.5,-,323.15,1.00169
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,338.15,1.00249
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,333.15,1.003
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.111,0.889,-,303.15,1.003286
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,318.15,1.0035
MATRINE,TETRADECANOIC ACID,-,0.5,0.5,-,303.15,1.00364
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,328.15,1.00377
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,333.15,1.004
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.091,0.909,-,343.15,1.00402
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,318.15,1.004165
TETRABUTYLAMMONIUM CHLORIDE,L-ARGININE,-,0.857,0.143,-,303.15,1.0042
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,338.15,1.00423
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,318.15,1.00436
TETRAHEXYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,298.15,1.0045
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,308.15,1.004506
METHYLTRIOCTYLAMMONIUM CHLORIDE,ISOBUTYL 4-HYDROXYBENZOATE,-,0.25,0.75,-,298.15,1.005
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,333.15,1.005
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,313.15,1.0051
MATRINE,DECANOIC ACID,-,0.5,0.5,-,338.15,1.00519
MATRINE,LAURIC ACID,-,0.5,0.5,-,318.15,1.00527
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,353.15,1.0056
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,1.006
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,353.15,1.006
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,353.15,1.0067
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,343.15,1.007
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.667,0.333,-,293.15,1.007
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.111,0.889,-,298.15,1.007055
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,328.15,1.00719
MATRINE,TETRADECANOIC ACID,-,0.5,0.5,-,298.15,1.00723
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,308.15,1.0074
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,313.15,1.007721
TETRAHEXYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,293.15,1.0078
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,353.15,1.0078
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.091,0.909,-,353.15,1.00787
CHOLINE CHLORIDE,1.3-BUTANEDIOL,-,0.05,0.95,-,293.0,1.008
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.25,0.75,-,303.15,1.008
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,318.15,1.008
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,343.15,1.00804
2-HYDROXYETHYLAZANIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.143,0.857,-,313.15,1.0081
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,303.15,1.008214
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,348.15,1.0087
LAURIC ACID,ATROPINE,-,0.667,0.333,-,298.0,1.00875
MATRINE,DECANOIC ACID,-,0.5,0.5,-,333.15,1.00883
MATRINE,LAURIC ACID,-,0.5,0.5,-,313.15,1.00885
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,353.15,1.00889
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.05,0.95,-,293.0,1.009
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,323.15,1.009
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,328.15,1.009
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,348.15,1.0092
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,303.15,1.0093
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,328.15,1.0095
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,353.15,1.0095
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,348.15,1.0096
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,353.15,1.0099
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,323.15,1.01
N-DODECYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,293.15,1.01
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,338.15,1.0102
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,353.15,1.0105
IMIDAZOLE,ETHANOLAMINE,-,0.333,0.667,-,338.15,1.01069
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.111,0.889,-,293.15,1.010866
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,353.15,1.011
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.111,0.889,-,353.15,1.01101
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,308.15,1.011298
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,348.15,1.0113
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,313.15,1.0114
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.091,0.909,-,333.15,1.01143
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,343.15,1.0115
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,343.15,1.0116
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,318.15,1.01166
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,298.15,1.0117
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,298.15,1.011922
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.167,0.833,-,358.15,1.012
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,328.15,1.01214
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,308.15,1.01218
MATRINE,LAURIC ACID,-,0.5,0.5,-,308.15,1.01238
MATRINE,DECANOIC ACID,-,0.5,0.5,-,328.15,1.01248
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,348.15,1.0129
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.1,0.9,-,293.0,1.013
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,323.15,1.013
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,323.15,1.01307
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,343.15,1.0131
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,293.15,1.0132
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,348.15,1.0133
TETRAHEXYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,343.15,1.0137
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,348.15,1.0139
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,333.15,1.014
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.25,0.75,-,293.15,1.014
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,338.15,1.0141
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.25,0.75,-,353.2,1.0142
TETRABUTYLAMMONIUM CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,338.15,1.0143
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,338.15,1.0143
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.143,0.857,-,353.15,1.01439
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,348.15,1.0145
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,308.15,1.0148
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,343.15,1.0148
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,303.15,1.014882
CHOLINE CHLORIDE,1.3-BUTANEDIOL,-,0.1,0.9,-,293.0,1.015
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.1,0.9,-,293.0,1.015
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.091,0.909,-,343.15,1.015
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,313.15,1.015
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,318.15,1.01505
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,353.15,1.0153
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,333.15,1.01533
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.143,0.858,-,333.15,1.01552
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.167,0.833,-,353.15,1.0156
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.143,0.857,-,293.15,1.015628
MATRINE,LAURIC ACID,-,0.5,0.5,-,303.15,1.016
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,343.15,1.01609
CHOLINE CHLORIDE,M-CRESOL,-,0.167,0.833,-,353.15,1.0161
MATRINE,DECANOIC ACID,-,0.5,0.5,-,323.15,1.01613
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,343.15,1.0164
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,338.15,1.0166
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,318.15,1.01667
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,333.15,1.0167
TETRAHEXYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,338.15,1.0168
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,343.15,1.0168
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,313.15,1.017
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,333.15,1.017
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,318.15,1.017
L-MENTHOL,4-METHOXYBENZYL ALCOHOL,-,0.333,0.667,-,298.15,1.017
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.333,0.667,-,353.2,1.0173
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,343.15,1.0174
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.2,0.8,-,358.15,1.0174
TETRABUTYLAMMONIUM CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,333.15,1.0176
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,343.15,1.0179
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.111,0.889,-,343.15,1.018
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,358.15,1.0181
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,353.15,1.0181
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,303.15,1.0183
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,338.15,1.0183
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.143,0.858,-,328.15,1.01833
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,298.15,1.018486
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,328.15,1.0185
IMIDAZOLE,ETHANOLAMINE,-,0.333,0.667,-,328.15,1.01857
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.091,0.909,-,323.15,1.01881
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.167,0.833,-,348.15,1.0189
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.25,0.75,-,358.15,1.019
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,348.15,1.0191
CHOLINE CHLORIDE,M-CRESOL,-,0.167,0.833,-,348.15,1.0193
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.167,0.833,-,348.15,1.0193
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.167,0.833,-,333.15,1.01935
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,308.15,1.01951
MATRINE,LAURIC ACID,-,0.5,0.5,-,298.15,1.01961
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.2,0.8,-,323.15,1.0197
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,333.15,1.0197
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,298.15,1.01974
MATRINE,DECANOIC ACID,-,0.5,0.5,-,318.15,1.01977
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,338.15,1.0198
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,328.15,1.0198
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,353.15,1.0199
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,328.15,1.0199
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,318.15,1.01998
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,323.15,1.02
TETRAHEXYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,333.15,1.02
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,338.15,1.0202
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,313.15,1.02026
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.2,0.8,-,353.15,1.0203
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.5,0.5,-,353.2,1.0204
TETRABUTYLAMMONIUM CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,328.15,1.0207
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,338.15,1.0208
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,358.15,1.0209
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.25,0.75,-,343.2,1.0209
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.05,0.95,-,293.0,1.021
CHOLINE CHLORIDE,M-CRESOL,-,0.2,0.8,-,353.15,1.021
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,303.15,1.021
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,313.15,1.021
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.143,0.858,-,323.15,1.02113
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.143,0.857,-,343.15,1.02125
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,338.15,1.0213
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,348.15,1.0217
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,298.15,1.0218
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,333.15,1.0218
2-HYDROXYETHYLAZANIUM CHLORIDE,ETHYLENEDIAMINE,-,0.25,0.75,-,313.15,1.0218
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.15,0.85,-,293.0,1.022
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.091,0.909,-,333.15,1.02209
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.167,0.833,-,343.15,1.0221
TETRABUTYLAMMONIUM BROMIDE,3-AMINOPROPAN-1-OL,-,0.2,0.8,-,293.15,1.022122
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.167,0.833,-,328.15,1.02216
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,323.15,1.0225
CHOLINE CHLORIDE,M-CRESOL,-,0.167,0.833,-,343.15,1.0226
TETRABUTYLAMMONIUM BROMIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,323.15,1.0226
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,323.15,1.02261
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,328.15,1.0227
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,308.15,1.02284
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,343.15,1.0229
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,303.15,1.023
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,323.15,1.023
TETRAHEXYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,328.15,1.0231
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,333.15,1.02319
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,333.15,1.0232
MATRINE,DECANOIC ACID,-,0.5,0.5,-,313.15,1.02339
CHOLINE CHLORIDE,O-CRESOL,-,0.143,0.857,-,353.15,1.0235
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.2,0.8,-,348.15,1.0235
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,348.15,1.0235
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,333.15,1.0236
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.333,0.667,-,343.2,1.0237
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,308.15,1.02379
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.143,0.858,-,318.15,1.02394
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.15,0.85,-,293.0,1.024
TETRABUTYLAMMONIUM CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,323.15,1.024
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,333.15,1.02413
CHOLINE CHLORIDE,M-CRESOL,-,0.2,0.8,-,348.15,1.0242
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.143,0.857,-,333.15,1.0242
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,333.15,1.0247
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.2,0.8,-,348.15,1.0247
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.167,0.833,-,323.15,1.02493
CHOLINE CHLORIDE,N-METHYLDIETHANOLAMINE,-,0.111,0.889,-,333.15,1.02497
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,308.15,1.025
CHOLINE CHLORIDE,1.3-BUTANEDIOL,-,0.333,0.667,-,298.15,1.02506
TETRABUTYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,293.15,1.0251
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,343.15,1.0252
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,328.15,1.0252
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,358.15,1.0253
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.167,0.833,-,338.15,1.0254
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,318.15,1.0255
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,348.15,1.0256
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,323.15,1.0257
CHOLINE CHLORIDE,M-CRESOL,-,0.167,0.833,-,338.15,1.0259
CHOLINE CHLORIDE,1.3-BUTANEDIOL,-,0.15,0.85,-,293.0,1.026
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.1,0.9,-,293.0,1.026
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.25,0.75,-,348.15,1.0261
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.091,0.909,-,313.15,1.02616
TETRABUTYLAMMONIUM BROMIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,318.15,1.0262
2-HYDROXYETHYLAZANIUM CHLORIDE,ACETAMIDE,-,0.5,0.5,-,343.2,1.0262
TETRAHEXYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,323.15,1.0263
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,318.15,1.0263
IMIDAZOLE,ETHANOLAMINE,-,0.333,0.667,-,318.15,1.02642
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.2,0.8,-,313.15,1.0265
DECANOIC ACID,ATROPINE,-,0.667,0.333,-,298.0,1.0265
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.2,0.8,-,343.15,1.0266
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,328.15,1.0266
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,353.15,1.0267
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.167,0.833,-,338.15,1.0267
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,338.15,1.0267
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.143,0.858,-,313.15,1.02675
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,328.15,1.02689
MATRINE,DECANOIC ACID,-,0.5,0.5,-,308.15,1.02699
CHOLINE CHLORIDE,O-CRESOL,-,0.143,0.857,-,348.15,1.027
CHOLINE CHLORIDE,O-CRESOL,-,0.167,0.833,-,353.15,1.027
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,313.15,1.027
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.5,0.5,-,293.15,1.027
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,328.15,1.027
CHOLINE CHLORIDE,M-CRESOL,-,0.25,0.75,-,353.15,1.0271
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,343.15,1.0272
2-HYDROXYETHYLAZANIUM CHLORIDE,DIETHYLENETRIAMINE,-,0.25,0.75,-,313.15,1.0272
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,298.15,1.02723
